investor_name,score,distance,investments,neighbors
GELLIFY,0.027998732060931168,2,36,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb760>
Gate.io,0.035931784467313314,2,17,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb7d0>
Hashkey,0.10775422266902684,1,74,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb840>
ICONIUM,0.22968009675984302,1,18,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb8b0>
Invesco,0.2625108441666776,1,93,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb920>
KR1 plc,0.0747526913704872,1,30,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbb990>
Kenetic,0.1403196062286483,1,76,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbba00>
Keybank,0.32713711633235987,1,21,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbba70>
Level39,0.09201305151862506,1,82,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbbae0>
Makuake,0.02890791622834282,2,41,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbbb50>
Meituan,0.15055933806754107,1,47,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbbbc0>
Nascent,0.11507547842600342,1,12,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbbc30>
Naspers,0.17091137144089746,1,39,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbbca0>
Natixis,0.10002031461732398,1,23,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbbd10>
OrbiMed,0.14361540698671593,1,531,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbbd80>
Permira,0.17562486171819822,1,36,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbbdf0>
Perseus,0.0968622573856327,1,24,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbbe60>
RUSNANO,0.31756493611879605,1,90,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbbed0>
Rakuten,0.2051263746518636,1,75,<generator object Runner.run.<locals>.<genexpr> at 0x11dbbbf40>
Red Hat,0.4366868463972392,1,18,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98040>
Reshape,0.19518894920122454,1,46,<generator object Runner.run.<locals>.<genexpr> at 0x11dc980b0>
Science,0.36015279989820187,1,55,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98120>
Stripes,0.2664489154780856,1,89,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98190>
TD Bank,0.11366856895729578,1,21,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98200>
Tamares,0.2071412478188555,1,13,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98270>
Tencent,0.17132310537729925,1,645,<generator object Runner.run.<locals>.<genexpr> at 0x11dc982e0>
Venrock,0.2764855548927441,1,765,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98350>
WestCap,0.1438096523864935,1,35,<generator object Runner.run.<locals>.<genexpr> at 0x11dc983c0>
blisce/,0.19009317417328603,1,51,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98430>
iAngels,0.12263815746913657,1,92,<generator object Runner.run.<locals>.<genexpr> at 0x11dc984a0>
mgnr.io,0.08476122144486775,1,13,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98510>
Altonomy,0.0514598683471262,2,14,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98580>
Barclays,0.12290054573444034,1,109,<generator object Runner.run.<locals>.<genexpr> at 0x11dc985f0>
Beringea,0.12644805121248434,1,140,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98660>
Bill Tai,0.2517060873924961,1,37,<generator object Runner.run.<locals>.<genexpr> at 0x11dc986d0>
Boost VC,0.17687728774401537,1,260,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98740>
CAMPFIRE,0.04026623068300992,2,18,<generator object Runner.run.<locals>.<genexpr> at 0x11dc987b0>
CapitalG,0.3768500461074223,1,99,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98820>
CircleUp,0.17784734407069624,1,86,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98890>
Citibank,0.09769093533476714,2,22,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98900>
ClalTech,0.17468001253813756,1,21,<generator object Runner.run.<locals>.<genexpr> at 0x11dc98970>
